date,time,x,y,RSSI3,RSSI4,RSSI5,RSSI6,RSSI7,RSSI8,RSSI9,RSSI10,RSSI11,RSSI12,RSSI13,RSSI14,RSSI15,RSSI16,RSSI17,RSSI18
7-01,14:09:15.826,0,1,,,,,-87.0,,,,-97.0,,,,,-85.0,-82.0,
7-01,14:09:16.048,0,1,-87.0,,,,,,,-99.0,,-90.0,,,-87.0,,,-82.0
7-01,14:09:16.202,0,1,,,,,,,,,,,-100.0,,,,,
7-01,14:09:16.343,0,1,,-80.0,,,,-89.0,-94.0,,,,,,,,,
7-01,14:09:16.504,0,1,-87.0,,,,,,,,,,,,,,-88.0,
7-01,14:09:16.680,0,1,,,,,,,,-95.0,,,,,-94.0,-88.0,,
7-01,14:09:16.842,0,1,,-91.0,,,,,,,,-90.0,,,,,,
7-01,14:09:17.026,0,1,,,,,,,,,,,,,,-90.0,,-94.0
7-01,14:09:17.274,0,1,-86.0,,,,-91.0,-91.0,,,,,-91.0,,,,,
7-01,14:09:17.501,0,1,,,,,,,,,,,,,,,-89.0,
7-01,14:09:17.740,0,1,,,,,,,,,,,,,,,,-92.0
7-01,14:09:17.918,0,1,,-90.0,,,,,,,,-91.0,,,-82.0,,,
7-01,14:09:18.068,0,1,,,,,,,,-98.0,,,,,,-95.0,,
7-01,14:09:18.400,0,1,-92.0,,,,,-89.0,-94.0,,,,-94.0,,,,-89.0,
7-01,14:09:18.756,0,1,,,,,-86.0,,,-99.0,,-94.0,,,,,,-91.0
7-01,14:09:18.919,0,1,,-91.0,,,,,,,-96.0,,-95.0,,-84.0,,,
7-01,14:09:19.310,0,1,-91.0,,,,,-90.0,,,,,,,,,-86.0,
7-01,14:09:19.688,0,1,,,,,,,,,,,,,,-96.0,,
7-01,14:09:19.899,0,1,,-90.0,,-102.0,-88.0,,-95.0,,,-94.0,,,-84.0,,,-90.0
7-01,14:09:20.386,0,1,,,,,,,,,,,-93.0,-98.0,,,,
7-01,14:09:20.566,0,1,,,,,,,,,,,,,,,-82.0,
7-01,14:09:20.710,0,1,,,,,,,,-92.0,,,,,,-89.0,,
7-01,14:09:20.870,0,1,-87.0,,-99.0,,,,,,,-94.0,,,,,,-93.0
7-01,14:09:21.207,0,1,,,,,,-97.0,,,,,,,,,,
7-01,14:09:21.377,0,1,,-85.0,,,,-96.0,,,,,,,,,-83.0,
7-01,14:09:21.537,0,1,,,,,-97.0,,,,,,-94.0,-95.0,-83.0,,,
7-01,14:09:21.841,0,1,,,,,,,,,,-97.0,,,,-91.0,,-88.0
7-01,14:09:22.053,0,1,-93.0,,,,,,,,,,,,,,,
7-01,14:09:22.206,0,1,,,,,,,,-92.0,,,,,,,,
7-01,14:09:22.370,0,1,,,,,,,,,,,,,,,-82.0,
7-01,14:09:22.572,0,1,,,,,,-93.0,,,,,-96.0,,,-92.0,,
7-01,14:09:22.786,0,1,,-89.0,,,-87.0,,,,,,,,,,,-89.0
7-01,14:09:22.972,0,1,,,,,,,,,,-92.0,,,-82.0,,,
7-01,14:09:23.151,0,1,-78.0,,,,,,-99.0,-90.0,,,,,,,,
7-01,14:09:23.347,0,1,,,,,,-92.0,,,,,,,,,,
7-01,14:09:23.516,0,1,,,,,,,,,,,-93.0,,,,,
7-01,14:09:23.818,0,1,,-90.0,,,,,,,,,,,,-92.0,,-89.0
7-01,14:09:23.978,0,1,-81.0,,,,,,,,,-93.0,,,-83.0,,-83.0,
7-01,14:09:24.307,0,1,,,,,,,-99.0,-97.0,,,,,,,,
7-01,14:09:24.469,0,1,,,,,,,,,,,-92.0,,,,,
7-01,14:09:24.643,0,1,-90.0,,,,,,,,,,,-97.0,,-90.0,,
7-01,14:09:25.176,0,1,,-86.0,,,,,,-96.0,,-93.0,,,-85.0,,-82.0,
7-01,14:09:25.330,0,1,,,,,,,,,,,-93.0,,,,,-88.0
7-01,14:09:25.703,0,1,-86.0,,,,,,,,,,,,,-91.0,,
7-01,14:09:25.842,0,1,,-88.0,,,,-90.0,,,,-96.0,,,,,-84.0,
7-01,14:09:26.042,0,1,,,,,,,-93.0,,,,,,,,,
7-01,14:09:26.246,0,1,,,,,,,,,,,,,-95.0,,,
7-01,14:09:26.396,0,1,-90.0,,,,,-91.0,,,,,,-96.0,,,,-84.0
7-01,14:09:26.933,0,1,,,,,,,,,,-94.0,,,-93.0,,,
7-01,14:09:27.256,0,1,,,,,,,,,,,,,,-90.0,,-84.0
7-01,14:09:27.495,0,1,,-95.0,,,,,,,,,,-97.0,,,,
7-01,14:09:27.668,0,1,-91.0,,,,,,,,,,-98.0,,,,,
7-01,14:09:27.831,0,1,,,,,,-89.0,-93.0,,,-93.0,,,,,-82.0,
7-01,14:09:28.048,0,1,,,,-102.0,,,,,,,,,,,,
7-01,14:09:28.236,0,1,,,,,,,,-96.0,,,,,,,,
7-01,14:09:28.424,0,1,,-88.0,,,,,,,,,-97.0,,-87.0,,,-85.0
7-01,14:09:28.598,0,1,-88.0,,,,,,,,,,,,,,,
7-01,14:09:28.765,0,1,,,,,,,,,,,,,,-87.0,-95.0,
7-01,14:09:28.922,0,1,,,,,,-90.0,-91.0,,,-91.0,,,-99.0,,,
7-01,14:09:29.383,0,1,,-84.0,,,,,,-94.0,,,-98.0,,,,,-87.0
7-01,14:09:29.606,0,1,,,,,,,,,,,,,,,-93.0,
7-01,14:09:29.780,0,1,,,,,,,,,,,,,,-87.0,,
7-01,14:09:30.165,0,1,,,,,,-87.0,,,,,,,,,,
7-01,14:09:30.348,0,1,-82.0,-85.0,,,,,,,-97.0,-94.0,-99.0,,-84.0,,,-86.0
7-01,14:09:30.579,0,1,,,,-101.0,,,,,,,,,,-87.0,,
7-01,14:09:30.802,0,1,,,,,,,,,,,,-98.0,,,,
7-01,14:09:31.020,0,1,-83.0,,,,-90.0,-91.0,,,,,,,-90.0,,-85.0,
7-01,14:09:31.411,0,1,,-83.0,,-96.0,,,,-96.0,-93.0,,-96.0,,,-93.0,,-87.0
7-01,14:09:31.576,0,1,,,,,,,,,,-96.0,,,,,,
7-01,14:09:32.004,0,1,-91.0,,,,-94.0,-89.0,-94.0,,,-97.0,,,,,,
7-01,14:09:32.204,0,1,,,,,,,,,,,,,,,-92.0,
7-01,14:09:32.402,0,1,,-88.0,,,,,,,-97.0,,,,,,,-86.0
7-01,14:09:32.580,0,1,,,,,,,,,,,-96.0,,-89.0,-94.0,,
7-01,14:09:32.749,0,1,,,-101.0,-100.0,,,,,,,,,,,,
7-01,14:09:32.906,0,1,-85.0,,,,-91.0,,-99.0,,,,,,-94.0,,-88.0,
7-01,14:09:33.356,0,1,,,,,,,,,,,,,,,,-86.0
7-01,14:09:33.547,0,1,,-84.0,,-102.0,,-88.0,,,,,,,,,,
7-01,14:09:33.725,0,1,,,,,,,,,,,,,,-90.0,,
7-01,14:09:33.893,0,1,,,,,,,,,,-99.0,,,,,-91.0,
7-01,14:09:34.362,0,1,-90.0,,,,,,,,,,,,,,,
7-01,14:09:34.556,0,1,,-83.0,,,,-89.0,,-97.0,,,,,,,,-85.0
7-01,14:09:34.743,0,1,,,,,,,,,-97.0,,-97.0,,,-91.0,,
7-01,14:09:34.915,0,1,,,,,,,,,,,,,,,-86.0,
7-01,14:09:35.094,0,1,-83.0,-89.0,-92.0,-90.0,-86.0,-86.0,-87.0,,-84.0,-80.0,,-88.0,-91.0,-93.0,-87.0,-86.0
7-01,14:10:25.272,4,1,,,,,,,,-90.0,,,,,,,,
7-01,14:10:25.493,4,1,,,,,,,,,,,-88.0,,,,,
7-01,14:10:25.656,4,1,,-92.0,,,,-90.0,-89.0,,-90.0,-85.0,,-94.0,,,,
7-01,14:10:25.812,4,1,,,,,,,,,,,,,-97.0,-94.0,,
7-01,14:10:26.002,4,1,,,,-90.0,,,,,,,,,,,,-87.0
7-01,14:10:26.234,4,1,-84.0,,-90.0,,-85.0,,,,,,-94.0,,,,,
7-01,14:10:26.413,4,1,,-92.0,,,,,,-91.0,,,,,,,,
7-01,14:10:26.591,4,1,,,,,,,,,-92.0,,,,,,-84.0,
7-01,14:10:26.802,4,1,,,,-93.0,,,-91.0,,,-85.0,,,-96.0,,,
7-01,14:10:26.937,4,1,,,,,-86.0,,,-94.0,,,,-88.0,,,,
7-01,14:10:27.096,4,1,-83.0,,-91.0,,,-86.0,,,,,-94.0,,,,,-88.0
7-01,14:10:27.464,4,1,,,,,,,,,-91.0,-85.0,,,,-83.0,-85.0,
7-01,14:10:27.848,4,1,,,,-95.0,,-91.0,,,,,,-97.0,,,,
7-01,14:10:28.238,4,1,,,,,,,,,,,,,-88.0,,,-88.0
7-01,14:10:28.409,4,1,-86.0,-93.0,,,-85.0,,-90.0,-88.0,,,,,,-85.0,,
7-01,14:10:28.583,4,1,,,,,,,,,-89.0,-83.0,-91.0,,,,-85.0,
7-01,14:10:28.738,4,1,,,-91.0,-99.0,,,,,,,,-94.0,,,,
7-01,14:10:29.109,4,1,-84.0,-93.0,,,-84.0,,-90.0,,,,,,-88.0,-93.0,,-87.0
7-01,14:10:29.334,4,1,,,,,,-89.0,,-90.0,,,,,,,,
